question;answer
What are the best ways to prevent common illnesses?;"Wash your hands regularly; eat a balanced diet; exercise regularly; and get vaccinated."
How can I improve my immune system naturally?;"Eat a healthy diet; get enough sleep; exercise regularly; and manage stress."
Why is it important to follow medication instructions?;Following medication instructions ensures the effectiveness of the treatment and reduces the risk of side effects.
What should I do if I miss a dose of medication?;"Take the missed dose as soon as you remember; unless it's almost time for your next dose. In that case; skip the missed dose."
What are the symptoms of the flu?;"Fever; chills; muscle aches; cough; congestion; runny nose; headaches; and fatigue."
How can I prevent the spread of infections?;"Wash your hands frequently; avoid close contact with sick individuals; and cover your mouth and nose when coughing or sneezing."
What is an antibiotic?;An antibiotic is a medication that fights bacterial infections. It does not work against viral infections.
What is blood pressure?;Blood pressure is the force of blood pushing against the walls of your arteries as your heart pumps blood.
What are the symptoms of diabetes?;"Increased thirst; frequent urination; extreme fatigue; blurred vision; and slow-healing sores."
When should I seek emergency medical help?;"Seek emergency help if you experience chest pain; difficulty breathing; severe bleeding; or sudden weakness or numbness."
What is anemia?;Anemia is a condition where you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.
What are the symptoms of anemia?;"Fatigue; weakness; pale skin; shortness of breath; dizziness; or lightheadedness."
What is hypertension?;"Hypertension; or high blood pressure; is a condition where the force of the blood against your artery walls is too high."
What are the symptoms of hypertension?;"Most people with hypertension have no symptoms; but some may experience headaches; shortness of breath; or nosebleeds."
What is diabetes?;Diabetes is a chronic condition that affects how your body turns food into energy. It involves problems with insulin production or use.
What are the types of diabetes?;"The main types are Type 1 diabetes; Type 2 diabetes; and gestational diabetes."
What is a heart attack?;"A heart attack occurs when the flow of blood to the heart is blocked; often by a blood clot."
What are the symptoms of a heart attack?;"Chest pain or discomfort; shortness of breath; nausea; lightheadedness; or discomfort in other areas of the upper body."
What is asthma?;"Asthma is a condition in which your airways narrow and swell and may produce extra mucus; making breathing difficult."
What are the symptoms of asthma?;"Shortness of breath; chest tightness or pain; wheezing; and coughing; especially at night or early in the morning."
What are allergies?;"Allergies are your body's reaction to a substance it considers harmful; such as pollen; dust; or certain foods."
What are the symptoms of allergies?;"Common symptoms include sneezing; itching; runny nose; and watery eyes."
What is a vaccine?;A vaccine is a biological preparation that provides active acquired immunity to a particular infectious disease.
What are the common side effects of vaccines?;"Common side effects include mild fever; soreness at the injection site; and fatigue."
What is a migraine?;"A migraine is a type of headache characterized by intense; throbbing pain; often accompanied by nausea and sensitivity to light and sound."
What are the symptoms of a migraine?;"Symptoms include severe headache; nausea; vomiting; and sensitivity to light and sound."
What is indigestion?;"Indigestion; also known as dyspepsia; is discomfort or pain in the upper abdomen often associated with eating."
What are the symptoms of indigestion?;"Symptoms include bloating; belching; nausea; and a feeling of fullness."
What is anxiety?;"Anxiety is a feeling of worry; nervousness; or unease about something with an uncertain outcome."
What are the symptoms of anxiety?;"Symptoms include restlessness; rapid heartbeat; sweating; and difficulty concentrating."
What is depression?;"Depression is a mood disorder characterized by persistent feelings of sadness; hopelessness; and loss of interest."
What are the symptoms of depression?;"Symptoms include persistent sadness; loss of interest in activities; changes in appetite; and difficulty sleeping."
What is asthma?;"Asthma is a chronic condition that affects the airways; causing them to become inflamed and narrow; making it difficult to breathe."
What are the symptoms of asthma?;"Symptoms include wheezing; shortness of breath; chest tightness; and coughing."
What is arthritis?;"Arthritis is inflammation of the joints; causing pain; stiffness; and swelling."
What are the symptoms of arthritis?;"Symptoms include joint pain; stiffness; swelling; and reduced range of motion."
What is a stroke?;"A stroke occurs when the blood supply to part of the brain is interrupted or reduced; preventing brain tissue from getting oxygen and nutrients."
What are the symptoms of a stroke?;"Symptoms include sudden numbness or weakness; confusion; trouble speaking; and loss of balance."
What is diabetes?;"Diabetes is a chronic condition that affects how your body turns food into energy; leading to high blood sugar levels."
What are the symptoms of diabetes?;"Symptoms include increased thirst; frequent urination; extreme fatigue; and blurred vision."